",client_id,age,job,marital,education,credit_default,mortgage,month,day,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome"
"1244,9482,33,self-employed,married,basic.9y,no,yes,jun,24,107,3,0,nonexistent,94.465,4.961,no"
"1245,9483,31,blue-collar,married,basic.9y,no,yes,jun,21,238,1,0,nonexistent,94.465,4.961,no"
"1246,9484,34,blue-collar,married,professional.course,no,yes,jun,25,38,1,0,nonexistent,94.465,4.961,no"
"1247,9485,25,services,single,high.school,unknown,no,jun,29,73,1,0,nonexistent,94.465,4.961,no"
"1248,9486,32,blue-collar,married,basic.9y,no,no,jun,30,78,1,0,nonexistent,94.465,4.961,no"
"1249,9487,54,blue-collar,unknown,basic.6y,unknown,no,jun,29,832,18,0,nonexistent,94.465,4.961,no"
"1250,9488,52,self-employed,married,university.degree,unknown,yes,jun,12,106,1,0,nonexistent,94.465,4.961,no"
"1251,9489,45,housemaid,single,basic.9y,no,yes,jun,20,113,1,0,nonexistent,94.465,4.961,no"
"1252,9490,36,self-employed,married,university.degree,no,yes,jun,29,529,1,0,nonexistent,94.465,4.961,no"
"1253,9491,38,admin.,divorced,university.degree,no,yes,jun,17,464,1,0,nonexistent,94.465,4.961,no"
"1254,9492,34,blue-collar,married,basic.6y,unknown,no,jun,16,61,1,0,nonexistent,94.465,4.961,no"
"1255,9493,38,blue-collar,single,basic.4y,no,yes,jun,17,108,1,0,nonexistent,94.465,4.961,no"
"1256,9494,39,services,single,high.school,unknown,yes,jun,3,332,1,0,nonexistent,94.465,4.961,no"
"1257,9495,51,services,married,high.school,unknown,yes,jun,13,81,1,0,nonexistent,94.465,4.961,no"
"1258,9496,60,unknown,married,university.degree,no,yes,jun,23,112,1,0,nonexistent,94.465,4.961,no"
"1259,9497,29,blue-collar,married,high.school,no,no,jun,19,181,1,0,nonexistent,94.465,4.961,no"
"1260,9498,50,blue-collar,single,basic.9y,unknown,no,jun,27,108,1,0,nonexistent,94.465,4.961,no"
"1261,9499,37,technician,married,basic.9y,no,no,jun,6,226,1,0,nonexistent,94.465,4.961,no"
"1262,9500,51,entrepreneur,divorced,university.degree,unknown,no,jun,15,60,2,0,nonexistent,94.465,4.961,no"
"1263,9501,48,technician,married,professional.course,no,yes,jun,15,85,1,0,nonexistent,94.465,4.961,no"
"1264,9502,39,blue-collar,married,basic.4y,unknown,no,jun,8,202,2,0,nonexistent,94.465,4.961,no"
"1265,9503,37,admin.,single,university.degree,no,yes,jun,3,540,1,0,nonexistent,94.465,4.961,no"
"1266,9504,36,technician,married,university.degree,no,yes,jun,3,196,1,0,nonexistent,94.465,4.961,no"
"1267,9505,40,services,married,basic.6y,unknown,yes,jun,3,52,1,0,nonexistent,94.465,4.961,no"
"1268,9506,47,management,married,basic.4y,no,no,jun,24,74,2,0,nonexistent,94.465,4.961,no"
"1269,9507,44,blue-collar,married,basic.4y,unknown,yes,jun,15,299,4,0,nonexistent,94.465,4.961,no"
"1270,9508,36,blue-collar,single,high.school,no,unknown,jun,22,311,2,0,nonexistent,94.465,4.961,no"
"1271,9509,26,technician,married,basic.6y,no,no,jun,15,123,1,0,nonexistent,94.465,4.961,no"
"1272,9510,33,admin.,married,university.degree,no,no,jun,1,232,1,0,nonexistent,94.465,4.961,no"
"1273,9511,52,housemaid,married,basic.4y,unknown,yes,jun,9,65,1,0,nonexistent,94.465,4.961,no"
"1274,9512,40,blue-collar,married,basic.9y,unknown,unknown,jun,3,65,1,0,nonexistent,94.465,4.961,no"
"1275,9513,41,blue-collar,married,basic.9y,no,yes,jun,20,157,2,0,nonexistent,94.465,4.961,no"
"1276,9514,45,admin.,married,university.degree,no,yes,jun,17,216,5,0,nonexistent,94.465,4.961,no"
"1277,9515,30,blue-collar,divorced,basic.9y,no,no,jun,19,79,1,0,nonexistent,94.465,4.961,no"
"1278,9516,33,technician,married,professional.course,no,no,jun,15,220,4,0,nonexistent,94.465,4.961,no"
"1279,9517,39,admin.,single,unknown,no,no,jun,24,152,2,0,nonexistent,94.465,4.961,no"
"1280,9518,33,management,married,university.degree,no,no,jun,16,140,1,0,nonexistent,94.465,4.961,no"
"1281,9519,31,blue-collar,single,unknown,no,yes,jun,7,400,1,0,nonexistent,94.465,4.961,no"
"1282,9520,42,technician,divorced,basic.9y,no,yes,jun,13,163,1,0,nonexistent,94.465,4.961,no"
"1283,9521,35,entrepreneur,divorced,high.school,no,yes,jun,8,77,1,0,nonexistent,94.465,4.961,no"
"1284,9522,56,retired,married,basic.6y,no,unknown,jun,28,356,5,0,nonexistent,94.465,4.961,no"
"1285,9523,52,blue-collar,married,basic.9y,unknown,unknown,jun,5,117,2,0,nonexistent,94.465,4.961,no"
"1286,9524,29,admin.,single,university.degree,no,no,jun,16,1055,10,0,nonexistent,94.465,4.961,yes"
"1287,9525,56,retired,married,basic.4y,no,yes,jun,9,772,1,0,nonexistent,94.465,4.961,no"
"1288,9526,38,admin.,married,basic.9y,unknown,yes,jun,19,306,1,0,nonexistent,94.465,4.961,no"
"1289,9527,60,technician,married,professional.course,unknown,yes,jun,20,64,1,0,nonexistent,94.465,4.961,no"
"1290,9528,56,services,married,basic.4y,unknown,yes,jun,17,139,1,0,nonexistent,94.465,4.961,no"
"1291,9529,39,self-employed,married,university.degree,no,no,jun,22,72,1,0,nonexistent,94.465,4.961,no"
"1292,9530,40,services,married,basic.6y,unknown,no,jun,17,49,1,0,nonexistent,94.465,4.961,no"
"1293,9531,56,services,married,basic.4y,unknown,yes,jun,13,287,1,0,nonexistent,94.465,4.961,no"
"1294,9532,30,blue-collar,single,basic.4y,unknown,no,jun,4,136,1,0,nonexistent,94.465,4.961,no"
"1295,9533,43,blue-collar,married,basic.4y,unknown,no,jun,10,119,1,0,nonexistent,94.465,4.961,no"
"1296,9534,39,admin.,married,high.school,no,no,jun,19,422,1,0,nonexistent,94.465,4.961,no"
"1297,9535,41,unknown,single,basic.6y,unknown,no,jun,16,125,1,0,nonexistent,94.465,4.961,no"
"1298,9536,27,admin.,single,high.school,unknown,yes,jun,24,114,1,0,nonexistent,94.465,4.961,no"
"1299,9537,43,technician,divorced,professional.course,no,yes,jun,17,99,3,0,nonexistent,94.465,4.961,no"
"1300,9538,37,technician,married,professional.course,unknown,yes,jun,22,218,1,0,nonexistent,94.465,4.961,no"
"1301,9539,25,services,married,high.school,no,yes,jun,21,174,9,0,nonexistent,94.465,4.961,no"
"1302,9540,37,technician,married,professional.course,unknown,no,jun,28,168,1,0,nonexistent,94.465,4.961,no"
"1303,9541,24,admin.,single,professional.course,no,yes,jun,26,233,1,0,nonexistent,94.465,4.961,no"
"1304,9542,59,retired,married,basic.4y,no,yes,jun,8,322,1,0,nonexistent,94.465,4.961,no"
"1305,9543,32,technician,single,university.degree,no,no,jun,14,443,2,0,nonexistent,94.465,4.961,no"
"1306,9544,30,admin.,married,unknown,no,yes,jun,17,76,1,0,nonexistent,94.465,4.961,no"
"1307,9545,40,technician,married,professional.course,no,yes,jun,21,217,1,0,nonexistent,94.465,4.961,no"
"1308,9546,27,services,married,high.school,no,no,jun,15,257,2,0,nonexistent,94.465,4.961,no"
"1309,9547,30,blue-collar,single,basic.4y,unknown,no,jun,18,882,1,0,nonexistent,94.465,4.961,yes"
"1310,9548,48,blue-collar,married,basic.4y,no,no,jun,17,254,1,0,nonexistent,94.465,4.961,no"
"1311,9549,37,admin.,divorced,university.degree,no,no,jun,28,83,1,0,nonexistent,94.465,4.961,no"
"1312,9550,39,blue-collar,married,basic.6y,no,yes,jun,3,213,1,0,nonexistent,94.465,4.961,no"
"1313,9551,34,admin.,married,basic.9y,no,yes,jun,28,252,3,0,nonexistent,94.465,4.961,no"
"1314,9552,41,blue-collar,divorced,basic.6y,no,yes,jun,24,36,1,0,nonexistent,94.465,4.961,no"
"1315,9553,34,admin.,married,high.school,no,no,jun,26,540,1,0,nonexistent,94.465,4.961,no"
"1316,9554,36,blue-collar,married,basic.4y,unknown,no,jun,19,280,1,0,nonexistent,94.465,4.961,no"
"1317,9555,37,admin.,divorced,university.degree,no,yes,jun,14,683,1,0,nonexistent,94.465,4.961,no"
"1318,9556,42,services,married,high.school,no,no,jun,11,230,3,0,nonexistent,94.465,4.961,no"
"1319,9557,39,technician,married,professional.course,no,yes,jun,26,452,1,0,nonexistent,94.465,4.961,no"
"1320,9558,39,services,married,high.school,no,yes,jun,7,149,1,0,nonexistent,94.465,4.961,no"
"1321,9559,35,admin.,married,high.school,no,yes,jun,14,172,1,0,nonexistent,94.465,4.961,no"
"1322,9560,35,unemployed,divorced,high.school,unknown,yes,jun,13,51,1,0,nonexistent,94.465,4.961,no"
"1323,9561,34,blue-collar,married,basic.6y,unknown,no,jun,30,35,1,0,nonexistent,94.465,4.961,no"
"1324,9562,42,technician,single,basic.9y,unknown,no,jun,26,626,1,0,nonexistent,94.465,4.961,no"
"1325,9563,49,admin.,divorced,high.school,no,yes,jun,14,122,2,0,nonexistent,94.465,4.961,no"
"1326,9564,53,admin.,single,basic.6y,no,yes,jun,28,63,1,0,nonexistent,94.465,4.961,no"
"1327,9565,29,admin.,married,high.school,no,no,jun,13,100,1,0,nonexistent,94.465,4.961,no"
"1328,9566,32,blue-collar,married,basic.9y,unknown,no,jun,19,70,1,0,nonexistent,94.465,4.961,no"
"1329,9567,29,admin.,married,high.school,no,no,jun,7,255,1,0,nonexistent,94.465,4.961,no"
"1330,9568,46,self-employed,divorced,basic.9y,no,yes,jun,24,217,1,0,nonexistent,94.465,4.961,no"
"1331,9569,58,management,married,unknown,unknown,yes,jun,5,1098,1,0,nonexistent,94.465,4.961,no"
"1332,9570,32,admin.,single,university.degree,no,yes,jun,10,176,6,0,nonexistent,94.465,4.961,no"
"1333,9571,44,blue-collar,married,basic.6y,no,yes,jun,3,331,6,0,nonexistent,94.465,4.961,no"
"1334,9572,26,student,single,high.school,no,no,jun,2,901,1,0,nonexistent,94.465,4.961,yes"
"1335,9573,56,technician,divorced,professional.course,unknown,yes,jun,15,123,2,0,nonexistent,94.465,4.961,no"
"1336,9574,25,blue-collar,married,professional.course,unknown,yes,jun,25,77,2,0,nonexistent,94.465,4.961,no"
"1337,9575,29,blue-collar,single,basic.9y,no,no,jun,13,91,1,0,nonexistent,94.465,4.961,no"
"1338,9576,44,blue-collar,married,professional.course,no,no,jun,17,63,1,0,nonexistent,94.465,4.961,no"
"1339,9577,44,technician,divorced,professional.course,no,yes,jun,9,173,1,0,nonexistent,94.465,4.961,no"
"1340,9578,44,blue-collar,single,basic.4y,no,no,jun,14,128,1,0,nonexistent,94.465,4.961,no"
"1341,9579,44,blue-collar,single,basic.4y,no,yes,jun,5,76,1,0,nonexistent,94.465,4.961,no"
"1342,9580,29,blue-collar,single,basic.9y,no,no,jun,20,411,1,0,nonexistent,94.465,4.961,no"
"1343,9581,37,blue-collar,married,professional.course,no,yes,jun,30,179,2,0,nonexistent,94.465,4.961,no"
"1344,9582,34,self-employed,married,university.degree,no,no,jun,12,139,2,0,nonexistent,94.465,4.961,no"
"1345,9583,54,blue-collar,married,basic.9y,unknown,yes,jun,8,75,2,0,nonexistent,94.465,4.961,no"
"1346,9584,58,retired,divorced,professional.course,unknown,no,jun,4,210,2,0,nonexistent,94.465,4.961,no"
"1347,9585,24,services,single,high.school,no,no,jun,17,700,1,0,nonexistent,94.465,4.961,yes"
"1348,9586,35,technician,married,professional.course,no,yes,jun,30,329,4,0,nonexistent,94.465,4.961,no"
"1349,9587,30,admin.,divorced,high.school,no,yes,jun,13,225,2,0,nonexistent,94.465,4.961,no"
"1350,9588,40,technician,married,professional.course,unknown,no,jun,1,96,1,0,nonexistent,94.465,4.961,no"
"1351,9589,29,blue-collar,married,basic.4y,unknown,yes,jun,18,166,1,0,nonexistent,94.465,4.961,no"
"1352,9590,54,technician,single,basic.9y,no,no,jun,9,186,3,0,nonexistent,94.465,4.961,no"
"1353,9591,40,technician,married,professional.course,unknown,yes,jun,20,92,1,0,nonexistent,94.465,4.961,no"
"1354,9592,52,management,divorced,university.degree,no,yes,jun,17,80,3,0,nonexistent,94.465,4.961,no"
"1355,9593,44,blue-collar,single,basic.6y,unknown,yes,jun,5,67,1,0,nonexistent,94.465,4.961,no"
"1356,9594,34,blue-collar,married,professional.course,no,yes,jun,21,190,1,0,nonexistent,94.465,4.961,no"
"1357,9595,31,admin.,single,university.degree,no,no,jun,28,104,1,0,nonexistent,94.465,4.961,no"
"1358,9596,30,admin.,single,high.school,no,yes,jun,12,174,1,0,nonexistent,94.465,4.961,no"
"1359,9597,36,technician,married,professional.course,no,yes,jun,23,37,1,0,nonexistent,94.465,4.961,no"
"1360,9598,26,student,single,high.school,no,no,jun,11,589,1,0,nonexistent,94.465,4.961,no"
"1361,9599,36,technician,married,professional.course,no,no,jun,27,183,1,0,nonexistent,94.465,4.961,no"
"1362,9600,36,technician,married,professional.course,no,no,jun,6,151,1,0,nonexistent,94.465,4.961,no"
"1363,9601,40,housemaid,single,university.degree,no,yes,jun,18,29,1,0,nonexistent,94.465,4.961,no"
"1364,9602,46,admin.,single,university.degree,unknown,yes,jun,12,186,1,0,nonexistent,94.465,4.961,no"
"1365,9603,34,blue-collar,married,basic.9y,unknown,no,jun,20,73,1,0,nonexistent,94.465,4.961,no"
"1366,9604,46,entrepreneur,married,professional.course,unknown,no,jun,30,88,1,0,nonexistent,94.465,4.961,no"
"1367,9605,27,technician,single,professional.course,no,yes,jun,23,522,1,0,nonexistent,94.465,4.961,no"
"1368,9606,36,entrepreneur,married,high.school,no,yes,jun,26,112,4,0,nonexistent,94.465,4.961,no"
"1369,9607,50,management,married,high.school,unknown,no,jun,9,65,17,0,nonexistent,94.465,4.961,no"
"1370,9608,28,blue-collar,married,basic.4y,no,no,jun,2,149,2,0,nonexistent,94.465,4.961,no"
"1371,9609,34,admin.,married,university.degree,no,yes,jun,22,206,2,0,nonexistent,94.465,4.961,no"
"1372,9610,41,blue-collar,single,basic.9y,no,no,jun,7,123,2,0,nonexistent,94.465,4.961,no"
"1373,9611,41,technician,single,university.degree,unknown,yes,jun,7,378,1,0,nonexistent,94.465,4.961,no"
"1374,9612,40,housemaid,married,high.school,unknown,yes,jun,5,100,7,0,nonexistent,94.465,4.961,no"
"1375,9613,25,blue-collar,single,basic.4y,no,yes,jun,27,81,1,0,nonexistent,94.465,4.961,no"
"1376,9614,43,admin.,married,university.degree,unknown,yes,jun,22,175,3,0,nonexistent,94.465,4.961,no"
"1377,9615,35,admin.,married,high.school,no,no,jun,6,250,1,0,nonexistent,94.465,4.961,no"
"1378,9616,38,self-employed,married,basic.9y,unknown,no,jun,27,156,2,0,nonexistent,94.465,4.961,no"
"1379,9617,45,self-employed,divorced,university.degree,no,yes,jun,9,173,1,0,nonexistent,94.465,4.961,no"
"1380,9618,32,technician,married,professional.course,no,yes,jun,17,127,2,0,nonexistent,94.465,4.961,no"
"1381,9619,51,blue-collar,married,basic.9y,unknown,no,jun,11,324,1,0,nonexistent,94.465,4.961,no"
"1382,9620,33,technician,single,high.school,no,no,jun,17,198,2,0,nonexistent,94.465,4.961,no"
"1383,9621,39,self-employed,married,basic.4y,unknown,no,jun,8,87,1,0,nonexistent,94.465,4.961,no"
"1384,9622,56,entrepreneur,divorced,university.degree,no,no,jun,23,311,1,0,nonexistent,94.465,4.961,no"
"1385,9623,35,blue-collar,married,basic.9y,unknown,yes,jun,17,313,1,0,nonexistent,94.465,4.961,no"
"1386,9624,57,retired,married,basic.4y,unknown,no,jun,16,302,1,0,nonexistent,94.465,4.961,no"
"1387,9625,54,unemployed,single,basic.6y,no,yes,jun,19,91,1,0,nonexistent,94.465,4.961,no"
"1388,9626,49,blue-collar,single,basic.4y,no,no,jun,10,47,1,0,nonexistent,94.465,4.961,no"
"1389,9627,40,technician,married,professional.course,no,no,jun,4,119,1,0,nonexistent,94.465,4.961,no"
"1390,9628,33,management,married,high.school,no,no,jun,11,117,1,0,nonexistent,94.465,4.961,no"
"1391,9629,33,unemployed,single,high.school,no,yes,jun,29,142,3,0,nonexistent,94.465,4.961,no"
"1392,9630,24,services,single,high.school,no,yes,jun,7,183,2,0,nonexistent,94.465,4.961,no"
"1393,9631,25,technician,single,high.school,no,yes,jun,20,249,2,0,nonexistent,94.465,4.961,no"
"1394,9632,34,services,married,basic.9y,no,yes,jun,11,274,2,0,nonexistent,94.465,4.961,no"
"1395,9633,37,unemployed,single,basic.9y,no,yes,jun,23,144,1,0,nonexistent,94.465,4.961,no"
"1396,9634,39,management,married,university.degree,no,yes,jun,25,23,1,0,nonexistent,94.465,4.961,no"
"1397,9635,32,technician,single,professional.course,no,no,jun,2,128,1,0,nonexistent,94.465,4.961,no"
"1398,9636,34,admin.,married,high.school,no,yes,jun,2,491,6,0,nonexistent,94.465,4.961,yes"
"1399,9637,25,services,single,high.school,no,yes,jun,17,162,1,0,nonexistent,94.465,4.961,no"
"1400,9638,32,admin.,single,professional.course,no,no,jun,12,213,1,0,nonexistent,94.465,4.961,no"
"1401,9639,29,blue-collar,married,basic.4y,no,no,jun,20,164,1,0,nonexistent,94.465,4.961,no"
"1402,9640,59,housemaid,married,basic.4y,no,no,jun,20,63,1,0,nonexistent,94.465,4.961,no"
"1403,9641,39,self-employed,married,basic.9y,unknown,no,jun,26,79,1,0,nonexistent,94.465,4.961,no"
"1404,9642,35,technician,married,university.degree,no,no,jun,13,114,1,0,nonexistent,94.465,4.961,no"
"1405,9643,33,technician,married,basic.9y,no,no,jun,22,136,1,0,nonexistent,94.465,4.961,no"
"1406,9644,25,technician,single,professional.course,no,yes,jun,15,97,1,0,nonexistent,94.465,4.961,no"
"1407,9645,60,management,married,unknown,unknown,no,jun,8,100,1,0,nonexistent,94.465,4.961,no"
"1408,9646,44,technician,married,basic.6y,unknown,yes,jun,20,160,2,0,nonexistent,94.465,4.961,no"
"1409,9647,31,blue-collar,married,basic.4y,no,yes,jun,10,240,2,0,nonexistent,94.465,4.961,no"
"1410,9648,36,technician,married,university.degree,no,yes,jun,26,78,2,0,nonexistent,94.465,4.961,no"
"1411,9649,30,services,married,university.degree,unknown,no,jun,8,87,2,0,nonexistent,94.465,4.961,no"
"1412,9650,36,technician,married,high.school,no,no,jun,18,940,1,0,nonexistent,94.465,4.961,yes"
"1413,9651,53,blue-collar,married,basic.4y,no,no,jun,5,340,2,0,nonexistent,94.465,4.961,no"
"1414,9652,40,unemployed,married,high.school,no,yes,jun,10,196,1,0,nonexistent,94.465,4.961,no"
"1415,9653,48,unemployed,married,basic.9y,no,yes,jun,5,85,1,0,nonexistent,94.465,4.961,no"
"1416,9654,36,admin.,married,university.degree,no,no,jun,26,199,1,0,nonexistent,94.465,4.961,no"
"1417,9655,47,blue-collar,married,basic.9y,no,yes,jun,22,160,1,0,nonexistent,94.465,4.961,no"
"1418,9656,28,admin.,single,basic.9y,no,no,jun,14,166,2,0,nonexistent,94.465,4.961,no"
"1419,9657,31,blue-collar,married,basic.6y,no,no,jun,2,271,2,0,nonexistent,94.465,4.961,no"
"1420,9658,58,technician,married,basic.4y,no,no,jun,24,317,1,0,nonexistent,94.465,4.961,no"
"1421,9659,36,admin.,single,high.school,no,no,jun,23,98,1,0,nonexistent,94.465,4.961,no"
"1422,9660,34,admin.,single,high.school,no,yes,jun,8,123,1,0,nonexistent,94.465,4.961,no"
"1423,9661,34,technician,married,university.degree,no,no,jun,1,321,1,0,nonexistent,94.465,4.961,no"
"1424,9662,44,admin.,married,university.degree,unknown,no,jun,9,78,3,0,nonexistent,94.465,4.961,no"
"1425,9663,33,services,divorced,high.school,no,yes,jun,5,73,2,0,nonexistent,94.465,4.961,no"
"1426,9664,29,blue-collar,married,basic.9y,no,no,jun,8,327,2,0,nonexistent,94.465,4.961,no"
"1427,9665,36,blue-collar,single,basic.9y,unknown,no,jun,21,411,2,0,nonexistent,94.465,4.961,no"
"1428,9666,43,admin.,single,high.school,no,no,jun,19,198,2,0,nonexistent,94.465,4.961,no"
"1429,9667,32,services,married,unknown,no,no,jun,19,98,4,0,nonexistent,94.465,4.961,no"
"1430,9668,46,admin.,single,university.degree,no,yes,jun,25,24,1,0,nonexistent,94.465,4.961,no"
"1431,9669,50,technician,married,professional.course,no,no,jun,22,352,1,0,nonexistent,94.465,4.961,no"
"1432,9670,41,blue-collar,single,basic.9y,unknown,no,jun,22,245,1,0,nonexistent,94.465,4.961,no"
"1433,9671,38,blue-collar,married,basic.6y,no,no,jun,23,559,1,0,nonexistent,94.465,4.961,no"
"1434,9672,41,management,married,high.school,no,yes,jun,22,440,1,0,nonexistent,94.465,4.961,no"
"1435,9673,49,blue-collar,married,basic.9y,no,unknown,jun,11,242,4,0,nonexistent,94.465,4.961,no"
"1436,9674,38,technician,married,high.school,no,no,jun,7,479,4,0,nonexistent,94.465,4.961,no"
"1437,9675,50,services,single,basic.4y,no,no,jun,10,514,3,0,nonexistent,94.465,4.961,no"
"1438,9676,53,blue-collar,single,basic.9y,no,yes,jun,2,91,3,0,nonexistent,94.465,4.961,no"
"1439,9677,39,admin.,married,university.degree,no,yes,jun,1,78,2,0,nonexistent,94.465,4.961,no"
"1440,9678,43,management,married,basic.4y,no,yes,jun,15,318,2,0,nonexistent,94.465,4.961,no"
"1441,9679,41,services,single,high.school,no,no,jun,27,295,3,0,nonexistent,94.465,4.961,no"
"1442,9680,32,blue-collar,married,high.school,no,yes,jun,10,83,2,0,nonexistent,94.465,4.961,no"
"1443,9681,31,admin.,married,high.school,no,no,jun,17,346,2,0,nonexistent,94.465,4.961,no"
"1444,9682,29,self-employed,married,high.school,no,no,jun,13,238,6,0,nonexistent,94.465,4.961,no"
"1445,9683,52,entrepreneur,married,basic.9y,unknown,no,jun,7,291,3,0,nonexistent,94.465,4.961,no"
"1446,9684,58,unknown,married,basic.4y,no,yes,jun,8,149,1,0,nonexistent,94.465,4.961,no"
"1447,9685,47,blue-collar,married,basic.4y,unknown,no,jun,29,200,1,0,nonexistent,94.465,4.961,no"
"1448,9686,45,admin.,married,high.school,no,no,jun,13,290,1,0,nonexistent,94.465,4.961,no"
"1449,9687,45,technician,married,high.school,no,yes,jun,19,222,3,0,nonexistent,94.465,4.961,no"
"1450,9688,37,blue-collar,married,high.school,no,yes,jun,13,90,4,0,nonexistent,94.465,4.961,no"
"1451,9689,49,entrepreneur,married,university.degree,no,no,jun,27,171,2,0,nonexistent,94.465,4.961,no"
"1452,9690,26,technician,married,professional.course,no,no,jun,3,170,2,0,nonexistent,94.465,4.961,no"
"1453,9691,40,blue-collar,married,basic.6y,no,no,jun,11,493,2,0,nonexistent,94.465,4.961,no"
"1454,9692,32,blue-collar,married,basic.4y,unknown,no,jun,9,188,2,0,nonexistent,94.465,4.961,no"
"1455,9693,30,blue-collar,single,basic.4y,no,no,jun,19,17,5,0,nonexistent,94.465,4.961,no"
"1456,9694,60,management,married,university.degree,no,no,jun,12,316,2,0,nonexistent,94.465,4.961,no"
"1457,9695,39,admin.,single,university.degree,unknown,yes,jun,26,398,2,0,nonexistent,94.465,4.961,no"
"1458,9696,35,blue-collar,married,basic.9y,no,no,jun,6,782,2,0,nonexistent,94.465,4.961,no"
"1459,9697,32,admin.,single,high.school,no,no,jun,8,137,2,0,nonexistent,94.465,4.961,no"
"1460,9698,28,entrepreneur,single,high.school,no,yes,jun,9,419,2,0,nonexistent,94.465,4.961,no"
"1461,9699,48,admin.,married,high.school,unknown,yes,jun,24,65,3,0,nonexistent,94.465,4.961,no"
"1462,9700,46,admin.,married,high.school,unknown,yes,jun,20,96,6,0,nonexistent,94.465,4.961,no"
"1463,9701,26,admin.,single,high.school,no,yes,jun,10,223,2,0,nonexistent,94.465,4.961,no"
"1464,9702,28,blue-collar,married,basic.6y,unknown,yes,jun,22,70,3,0,nonexistent,94.465,4.961,no"
"1465,9703,52,unknown,married,basic.4y,no,no,jun,3,150,17,0,nonexistent,94.465,4.961,no"
"1466,9704,29,blue-collar,single,high.school,unknown,no,jun,10,559,2,0,nonexistent,94.465,4.961,no"
"1467,9705,38,technician,married,professional.course,no,yes,jun,19,952,2,0,nonexistent,94.465,4.961,yes"
"1468,9706,42,services,divorced,basic.6y,no,no,jun,2,71,2,0,nonexistent,94.465,4.961,no"
"1469,9707,36,admin.,married,university.degree,no,yes,jun,22,152,2,0,nonexistent,94.465,4.961,no"
"1470,9708,27,entrepreneur,single,university.degree,no,yes,jun,24,486,3,0,nonexistent,94.465,4.961,yes"
"1471,9709,47,blue-collar,married,high.school,unknown,yes,jun,11,224,3,0,nonexistent,94.465,4.961,no"
"1472,9710,54,housemaid,married,professional.course,no,yes,jun,25,152,4,0,nonexistent,94.465,4.961,no"
"1473,9711,32,blue-collar,single,basic.9y,no,yes,jun,16,22,17,0,nonexistent,94.465,4.961,no"
"1474,9712,42,blue-collar,married,basic.9y,no,no,jun,13,130,2,0,nonexistent,94.465,4.961,no"
"1475,9713,39,self-employed,married,university.degree,no,no,jun,16,135,3,0,nonexistent,94.465,4.961,no"
"1476,9714,37,blue-collar,unknown,basic.6y,unknown,no,jun,9,199,4,0,nonexistent,94.465,4.961,no"
"1477,9715,25,blue-collar,divorced,basic.9y,no,unknown,jun,21,185,2,0,nonexistent,94.465,4.961,no"
"1478,9716,34,management,single,high.school,no,yes,jun,5,220,2,0,nonexistent,94.465,4.961,no"
"1479,9717,41,blue-collar,divorced,basic.9y,unknown,no,jun,28,85,4,0,nonexistent,94.465,4.961,no"
"1480,9718,40,blue-collar,married,basic.4y,no,no,jun,11,258,2,0,nonexistent,94.465,4.961,no"
"1481,9719,26,blue-collar,single,high.school,unknown,no,jun,20,108,2,0,nonexistent,94.465,4.961,no"
"1482,9720,49,admin.,single,university.degree,unknown,yes,jun,11,244,3,0,nonexistent,94.465,4.961,no"
"1483,9721,60,retired,divorced,basic.4y,unknown,yes,jun,17,253,4,0,nonexistent,94.465,4.961,no"
"1484,9722,42,blue-collar,single,basic.9y,no,no,jun,9,306,5,0,nonexistent,94.465,4.961,no"
"1485,9723,35,blue-collar,married,high.school,unknown,no,jun,23,134,3,0,nonexistent,94.465,4.961,no"
"1486,9724,30,admin.,married,high.school,unknown,yes,jun,9,69,2,0,nonexistent,94.465,4.961,no"
"1487,9725,42,blue-collar,married,basic.9y,unknown,yes,jun,29,175,3,0,nonexistent,94.465,4.961,no"
"1488,9726,39,admin.,single,university.degree,no,yes,jun,25,436,2,0,nonexistent,94.465,4.961,no"
"1489,9727,25,technician,single,university.degree,no,no,jun,10,92,6,0,nonexistent,94.465,4.961,no"
"1490,9728,37,admin.,married,high.school,no,no,jun,3,155,3,0,nonexistent,94.465,4.961,no"
"1491,9729,32,technician,single,professional.course,no,yes,jun,27,371,3,0,nonexistent,94.465,4.961,no"
"1492,9730,35,blue-collar,married,basic.9y,no,yes,jun,26,216,2,0,nonexistent,94.465,4.961,no"
"1493,9731,28,blue-collar,single,basic.9y,no,yes,jun,18,243,2,0,nonexistent,94.465,4.961,no"
"1494,9732,32,admin.,married,university.degree,unknown,yes,jun,14,718,3,0,nonexistent,94.465,4.961,no"
"1495,9733,42,technician,married,basic.9y,no,yes,jun,2,442,8,0,nonexistent,94.465,4.961,yes"
"1496,9734,35,blue-collar,married,basic.4y,unknown,yes,jun,4,184,5,0,nonexistent,94.465,4.961,no"
"1497,9735,45,admin.,married,unknown,no,no,jun,24,189,4,0,nonexistent,94.465,4.961,no"
"1498,9736,39,self-employed,married,basic.4y,unknown,yes,jun,15,164,3,0,nonexistent,94.465,4.961,no"
"1499,9737,38,management,married,basic.6y,unknown,yes,jun,23,166,3,0,nonexistent,94.465,4.961,no"
"1500,9738,52,entrepreneur,married,basic.9y,unknown,yes,jun,24,699,2,0,nonexistent,94.465,4.961,no"
"1501,9739,41,self-employed,married,basic.9y,no,yes,jun,16,178,4,0,nonexistent,94.465,4.961,no"
